FileName;scope;Type;Name;Match;
WP_Query;property;NULL;query;not matched
WP_Query;property;array;query;not matched
WP_Query;property;array;query_vars;not matched
WP_Query;property;NULL;tax_query;not matched
WP_Query;property;WP_Tax_Query;tax_query;fully matched
WP_Query;property;boolean;meta_query;not matched
WP_Query;property;WP_Meta_Query;meta_query;fully matched
WP_Query;property;boolean;date_query;not matched
WP_Query;property;NULL;queried_object;not matched
WP_Query;property;NULL;queried_object_id;not matched
WP_Query;property;integer;queried_object_id;not matched
WP_Query;property;NULL;request;not matched
WP_Query;property;string;request;not matched
WP_Query;property;NULL;posts;not matched
WP_Query;property;array;posts;not matched
WP_Query;property;integer;post_count;not matched
WP_Query;property;integer;current_post;not matched
WP_Query;property;boolean;in_the_loop;not matched
WP_Query;property;NULL;post;not matched
WP_Query;property;WP_Post;post;fully matched
WP_Query;property;NULL;comments;not matched
WP_Query;property;integer;comment_count;not matched
WP_Query;property;integer;current_comment;not matched
WP_Query;property;NULL;comment;not matched
WP_Query;property;integer;found_posts;not matched
WP_Query;property;string;found_posts;not matched
WP_Query;property;integer;max_num_pages;not matched
WP_Query;property;double;max_num_pages;not matched
WP_Query;property;integer;max_num_comment_pages;not matched
WP_Query;property;boolean;is_single;not matched
WP_Query;property;boolean;is_preview;not matched
WP_Query;property;boolean;is_page;not matched
WP_Query;property;boolean;is_archive;not matched
WP_Query;property;boolean;is_date;not matched
WP_Query;property;boolean;is_year;not matched
WP_Query;property;boolean;is_month;not matched
WP_Query;property;boolean;is_day;not matched
WP_Query;property;boolean;is_time;not matched
WP_Query;property;boolean;is_author;not matched
WP_Query;property;boolean;is_category;not matched
WP_Query;property;boolean;is_tag;not matched
WP_Query;property;boolean;is_tax;not matched
WP_Query;property;boolean;is_search;not matched
WP_Query;property;boolean;is_feed;not matched
WP_Query;property;boolean;is_comment_feed;not matched
WP_Query;property;boolean;is_trackback;not matched
WP_Query;property;boolean;is_home;not matched
WP_Query;property;boolean;is_404;not matched
WP_Query;property;boolean;is_comments_popup;not matched
WP_Query;property;boolean;is_paged;not matched
WP_Query;property;boolean;is_admin;not matched
WP_Query;property;boolean;is_attachment;not matched
WP_Query;property;boolean;is_singular;not matched
WP_Query;property;boolean;is_robots;not matched
WP_Query;property;boolean;is_posts_page;not matched
WP_Query;property;boolean;is_post_type_archive;not matched
WP_Query;property;boolean;query_vars_hash;not matched
WP_Query;property;string;query_vars_hash;not matched
WP_Query;property;boolean;query_vars_changed;not matched
WP_Query;property;boolean;thumbnails_cached;not matched
WP_Query;property;NULL;stopwords;not matched
WP_Query;parameter;array;query;not matched
WP_Query;parameter;array;array;fully matched
WP_Query;parameter;array;q;not matched
WP_Query;parameter;string;limits;not matched
WP_Query;parameter;string;taxonomy;not matched
WP_Query;parameter;string;term;not matched
WP_Query;parameter;string;query_var;not matched
WP_Rewrite;property;NULL;permalink_structure;not matched
