FileName	OK	Count
5752932.java	Fail	100	ERROR:	 Line [2] 	 Position [1]	illegal character: \35,,ERROR:	 Line [2] 	 Position [8]	class, interface, or enum expected,,ERROR:	 Line [4] 	 Position [45]	illegal character: \35,,ERROR:	 Line [6] 	 Position [104]	illegal character: \35,,ERROR:	 Line [7] 	 Position [175]	illegal character: \35,,ERROR:	 Line [8] 	 Position [246]	illegal character: \35,,ERROR:	 Line [9] 	 Position [314]	illegal character: \35,,ERROR:	 Line [10] 	 Position [352]	illegal character: \35,,ERROR:	 Line [11] 	 Position [354]	illegal character: \35,,ERROR:	 Line [12] 	 Position [420]	illegal character: \35,,ERROR:	 Line [12] 	 Position [448]	class, interface, or enum expected,,ERROR:	 Line [13] 	 Position [485]	illegal character: \35,,ERROR:	 Line [14] 	 Position [549]	illegal character: \35,,ERROR:	 Line [15] 	 Position [596]	illegal character: \35,,ERROR:	 Line [16] 	 Position [598]	illegal character: \35,,ERROR:	 Line [17] 	 Position [666]	illegal character: \35,,ERROR:	 Line [27] 	 Position [1049]	')' expected,,ERROR:	 Line [27] 	 Position [1050]	<identifier> expected,,ERROR:	 Line [28] 	 Position [1052]	class, interface, or enum expected,,ERROR:	 Line [32] 	 Position [1221]	class, interface, or enum expected,,ERROR:	 Line [40] 	 Position [1518]	class, interface, or enum expected,,ERROR:	 Line [41] 	 Position [1549]	class, interface, or enum expected,,ERROR:	 Line [42] 	 Position [1574]	class, interface, or enum expected,,ERROR:	 Line [44] 	 Position [1617]	<identifier> expected,,ERROR:	 Line [44] 	 Position [1644]	';' expected,,ERROR:	 Line [45] 	 Position [1645]	invalid method declaration; return type required,,ERROR:	 Line [45] 	 Position [1668]	illegal start of type,,ERROR:	 Line [45] 	 Position [1669]	')' expected,,ERROR:	 Line [45] 	 Position [1676]	';' expected,,ERROR:	 Line [45] 	 Position [1677]	illegal start of type,,ERROR:	 Line [45] 	 Position [1678]	<identifier> expected,,ERROR:	 Line [45] 	 Position [1680]	';' expected,,ERROR:	 Line [45] 	 Position [1689]	illegal start of type,,ERROR:	 Line [45] 	 Position [1690]	<identifier> expected,,ERROR:	 Line [45] 	 Position [1691]	';' expected,,ERROR:	 Line [46] 	 Position [1695]	invalid method declaration; return type required,,ERROR:	 Line [46] 	 Position [1718]	illegal start of type,,ERROR:	 Line [46] 	 Position [1719]	')' expected,,ERROR:	 Line [46] 	 Position [1729]	';' expected,,ERROR:	 Line [46] 	 Position [1730]	illegal start of type,,ERROR:	 Line [46] 	 Position [1731]	<identifier> expected,,ERROR:	 Line [46] 	 Position [1733]	';' expected,,ERROR:	 Line [46] 	 Position [1745]	illegal start of type,,ERROR:	 Line [46] 	 Position [1746]	<identifier> expected,,ERROR:	 Line [46] 	 Position [1748]	']' expected,,ERROR:	 Line [48] 	 Position [1753]	illegal start of type,,ERROR:	 Line [48] 	 Position [1772]	']' expected,,ERROR:	 Line [51] 	 Position [1860]	illegal start of expression,,ERROR:	 Line [51] 	 Position [1861]	invalid method declaration; return type required,,ERROR:	 Line [51] 	 Position [1875]	illegal start of type,,ERROR:	 Line [51] 	 Position [1876]	')' expected,,ERROR:	 Line [51] 	 Position [1889]	';' expected,,ERROR:	 Line [51] 	 Position [1890]	illegal start of type,,ERROR:	 Line [51] 	 Position [1891]	<identifier> expected,,ERROR:	 Line [51] 	 Position [1892]	';' expected,,ERROR:	 Line [53] 	 Position [1909]	illegal start of type,,ERROR:	 Line [53] 	 Position [1910]	<identifier> expected,,ERROR:	 Line [53] 	 Position [1912]	']' expected,,ERROR:	 Line [59] 	 Position [2174]	<identifier> expected,,ERROR:	 Line [59] 	 Position [2193]	']' expected,,ERROR:	 Line [59] 	 Position [2195]	';' expected,,ERROR:	 Line [61] 	 Position [2264]	illegal start of type,,ERROR:	 Line [61] 	 Position [2282]	']' expected,,ERROR:	 Line [64] 	 Position [2351]	illegal start of type,,ERROR:	 Line [64] 	 Position [2352]	';' expected,,ERROR:	 Line [64] 	 Position [2368]	illegal start of type,,ERROR:	 Line [70] 	 Position [2568]	illegal start of type,,ERROR:	 Line [70] 	 Position [2569]	';' expected,,ERROR:	 Line [70] 	 Position [2585]	illegal start of type,,ERROR:	 Line [70] 	 Position [2586]	<identifier> expected,,ERROR:	 Line [70] 	 Position [2588]	';' expected,,ERROR:	 Line [70] 	 Position [2606]	']' expected,,ERROR:	 Line [70] 	 Position [2610]	';' expected,,ERROR:	 Line [78] 	 Position [2881]	illegal start of type,,ERROR:	 Line [78] 	 Position [2882]	';' expected,,ERROR:	 Line [78] 	 Position [2898]	illegal start of type,,ERROR:	 Line [78] 	 Position [2899]	<identifier> expected,,ERROR:	 Line [78] 	 Position [2901]	';' expected,,ERROR:	 Line [78] 	 Position [2919]	']' expected,,ERROR:	 Line [78] 	 Position [2926]	<identifier> expected,,ERROR:	 Line [78] 	 Position [2945]	']' expected,,ERROR:	 Line [78] 	 Position [2949]	';' expected,,ERROR:	 Line [95] 	 Position [3362]	illegal start of type,,ERROR:	 Line [95] 	 Position [3363]	';' expected,,ERROR:	 Line [95] 	 Position [3364]	illegal start of type,,ERROR:	 Line [95] 	 Position [3365]	<identifier> expected,,ERROR:	 Line [97] 	 Position [3368]	';' expected,,ERROR:	 Line [98] 	 Position [3474]	illegal start of type,,ERROR:	 Line [98] 	 Position [3475]	';' expected,,ERROR:	 Line [100] 	 Position [3491]	illegal start of type,,ERROR:	 Line [100] 	 Position [3501]	';' expected,,ERROR:	 Line [102] 	 Position [3506]	invalid method declaration; return type required,,ERROR:	 Line [102] 	 Position [3522]	illegal start of type,,ERROR:	 Line [102] 	 Position [3524]	']' expected,,ERROR:	 Line [103] 	 Position [3534]	';' expected,,ERROR:	 Line [103] 	 Position [3553]	']' expected,,ERROR:	 Line [106] 	 Position [3617]	<identifier> expected,,ERROR:	 Line [106] 	 Position [3618]	'(' or '[' expected,,ERROR:	 Line [106] 	 Position [3619]	';' expected,,ERROR:	 Line [106] 	 Position [3635]	illegal start of expression,,
11716418.java	OK	0
6595167.java	OK	0
3211594.java	OK	0
5379172.java	OK	0
9867908.java	OK	0
2274677.java	OK	0
8884824.java	OK	0
9191673.java	Fail	1	ERROR:	 Line [63] 	 Position [1794]	illegal start of type,,
8320809.java	OK	0
